Nuclide,Energy_keV,Intensity_%
Cs137,661.657,85.10
Co57,14.41,9.16
Co57,122.06,85.60
Co57,136.47,10.70
Co60,1173.23,99.85
Co60,1332.49,99.98
Mn54,834.85,99.98
Na22,511.00,179.80
Na22,1274.54,99.94
Eu152,121.78,28.40
Eu152,244.70,7.60
Eu152,344.28,26.60
Eu152,411.12,2.20
Eu152,443.97,3.10
Eu152,778.90,12.90
Eu152,867.39,4.20
Eu152,964.08,14.60
Eu152,1085.87,10.20
Eu152,1112.08,13.70
Eu152,1212.95,1.40
Eu152,1299.14,1.60
Eu152,1408.01,20.90
Ba133,80.998,32.90
Ba133,302.851,18.33
Ba133,356.013,62.10
Ba133,383.851,8.94
Am241,59.541,35.90
